iter,iter of alpha,norm of gradient,loss
188,17,6852.653757,6.32E+05
189,18,4272.625317,6.32E+05
190,17,6780.5938,6.32E+05
191,18,4236.764013,6.32E+05
192,17,6709.227127,6.32E+05
193,18,4201.182381,6.32E+05
194,17,6638.353671,6.32E+05
195,18,4166.005735,6.32E+05
196,17,6568.064336,6.32E+05
197,18,4131.244418,6.31E+05
198,17,6498.302335,6.31E+05
199,18,4096.909003,6.31E+05
200,17,6429.084835,6.31E+05
201,18,4062.889147,6.31E+05
202,17,6360.429613,6.31E+05
203,18,4029.192842,6.31E+05
204,17,6292.276852,6.31E+05
205,18,3995.828275,6.31E+05
206,17,6224.643056,6.31E+05
207,18,3962.803823,6.31E+05
208,17,6157.545327,6.30E+05
209,18,3930.253295,6.30E+05
210,17,6091.001381,6.30E+05
211,18,3897.936031,6.30E+05
212,17,6024.947874,6.30E+05
213,18,3865.985197,6.30E+05
214,17,5959.401114,6.30E+05
215,18,3834.281589,6.30E+05
216,17,5894.378008,6.30E+05
217,18,3803.090236,6.30E+05
218,17,5829.81165,6.30E+05
219,18,3772.032412,6.29E+05
220,17,5765.717386,6.29E+05
221,18,3741.37456,6.29E+05
222,17,5702.197452,6.29E+05
223,18,3711.126592,6.29E+05
224,17,5639.096694,6.29E+05
225,18,3681.031201,6.29E+05
226,17,5576.517603,6.29E+05
227,18,3651.361762,6.29E+05
228,17,5514.477941,6.29E+05
229,18,3621.992858,6.29E+05
230,17,5452.905857,6.28E+05
231,18,3592.931856,6.28E+05
232,17,5391.726084,6.28E+05
233,18,3564.186289,6.28E+05
234,17,5331.136779,6.28E+05
235,18,3535.76385,6.28E+05
236,17,5271.06493,6.28E+05
237,18,3507.532073,6.28E+05
238,17,5211.339542,6.28E+05
239,18,3479.778496,6.28E+05
240,17,5152.259258,6.28E+05
241,18,3452.22952,6.28E+05
242,17,5093.556643,6.27E+05
243,18,3425.03379,6.27E+05
244,17,5035.440402,6.27E+05
245,18,3398.054944,6.27E+05
246,17,4977.733317,6.27E+05
247,18,3371.44418,6.27E+05
248,17,4920.549815,6.27E+05
249,18,3345.063147,6.27E+05
250,17,4863.807167,6.27E+05
251,18,3319.065619,6.27E+05
252,17,4807.623363,6.27E+05
253,18,3293.460675,6.27E+05
254,17,4751.914648,6.26E+05
255,18,3267.956337,6.26E+05
256,17,4696.802721,6.26E+05
257,18,3242.858545,6.26E+05
258,17,4642.096787,6.26E+05
259,18,3218.023866,6.26E+05
260,17,4587.91865,6.26E+05
261,18,3193.458439,6.26E+05
262,17,4534.28723,6.26E+05
263,18,3169.323827,6.26E+05
264,17,4481.11232,6.26E+05
265,18,3145.316995,6.26E+05
266,16,9156.45286,6.26E+05
267,18,4893.970758,6.25E+05
268,18,3342.266333,6.25E+05
269,17,5079.429082,6.25E+05
270,18,3412.075946,6.25E+05
271,17,5282.53767,6.25E+05
272,18,3490.370594,6.25E+05
273,17,5504.65123,6.25E+05
274,18,3578.381623,6.25E+05
275,17,5747.934058,6.25E+05
276,18,3677.151572,6.25E+05
277,17,6014.809536,6.25E+05
278,18,3788.177879,6.25E+05
279,17,6308.291835,6.25E+05
280,18,3913.310575,6.24E+05
281,17,6631.825844,6.24E+05
282,18,4054.27888,6.24E+05
283,17,6989.478567,6.24E+05
284,18,4213.582523,6.24E+05
285,17,7386.224229,6.24E+05
286,18,4394.044756,6.24E+05
287,18,3053.20792,6.24E+05
