iter,iter of alpha,norm of gradient,loss
1,1,24.80380818,8.05E+05
2,1,7.514153312,6.94E+05
3,1,4.660246775,6.40E+05
4,1,3.20597879,5.91E+05
5,1,2.387655754,5.46E+05
6,1,0.686294397,5.43E+05
